signal_a,signal_b,mean_a,mean_b,volatility_a,volatility_b,correlation,weight_a,weight_b,weight_a_closed_form,closed_form_agrees,lagrange_multiplier,budget_denominator,stationary_point_is_maximum,optimal_sharpe,equal_weight_sharpe,best_single_sharpe,gross_leverage,covariance_condition_number,grid_best_weight_a,grid_best_sharpe,long_only_weight_a,long_only_sharpe,evaluation_sharpe_at_frozen_weights,evaluation_sharpe_long_only
headline/sentiment_all,headline/sentiment_non_reuters,0.00040281869735377926,0.000349981137906278,0.005019427419074665,0.005156470049395193,0.98896604059963,6.767749151967954,-5.767749151967954,6.767749151967844,True,0.0,17.610060295034373,True,1.7720099672104395,1.1776280962506973,1.2739597659227422,12.535498303935908,180.39087815760794,6.767500000000002,1.7720099667095612,1.0,1.2739597659227422,2.2826693456079092,0.5760561649093326
headline/actionable_sentiment_all,headline/sentiment_all,-0.00013216267259503548,0.00040281869735377926,0.004562654471271243,0.005019427419074665,0.8271453432694305,154.19664215835573,-153.19664215835573,154.1966421583573,True,0.0,-0.4290981468653854,False,-2.9793561891752494,0.46907238373928883,1.2739597659227422,307.39328431671146,10.687091106238272,-25.0,2.971699255985223,0.0,1.2739597659227422,-2.754152235308304,0.5760561649093326
headline/actionable_sentiment_all,headline/sentiment_non_reuters,-0.00013216267259503548,0.000349981137906278,0.004562654471271243,0.005156470049395193,0.81612923413955,24.92267064841648,-23.92267064841648,24.922670648416556,True,0.0,-2.2215610616865575,False,-2.5556214875552206,0.37327369814381955,1.0774383005350952,48.84534129683296,10.059238316184372,-25.0,2.536944656894906,0.0,1.0774383005350952,-2.0704731099530673,0.10577650175788587
headline/actionable_sentiment_all,headline/sentiment_reuters,-0.00013216267259503548,-8.744346488348531e-05,0.004562654471271243,0.0030884475733343295,0.4702518099876895,0.4189890125579661,0.5810109874420339,0.418989012557966,True,0.0,-10.512009132514358,False,-0.5303531507551468,-0.527903381845025,-0.4494562197338631,1.0,3.6870705341173338,-25.0,0.1570927944935601,0.0,-0.4494562197338631,-1.8080591164048139,-1.657330084782307
headline/actionable_sentiment_all,llm/finbert,-0.00013216267259503548,0.00021709715836115066,0.004562654471271243,0.004878050611642556,0.46700021536901226,-10.982336278310708,11.982336278310708,-10.982336278310697,True,0.0,1.269765049784123,True,1.138777282366177,0.16672156287851458,0.7064933971675242,22.964672556621416,2.7786793748553533,-10.9825,1.1387772823655973,0.0,0.7064933971675242,2.927338830431511,1.1783917251865554
headline/actionable_sentiment_all,llm/gemma-4-31b,-0.00013216267259503548,6.88717621405478e-05,0.004562654471271243,0.004256567645728868,0.5396753306061949,10.477163999966127,-9.477163999966127,10.477163999966107,True,0.0,-1.1126684631016168,False,-0.7558249117334931,-0.12981759736087356,0.2568513931569123,19.954327999932254,3.374667743288228,-25.0,0.7498320240756593,0.0,0.2568513931569123,-1.6131338594516618,-0.5323521175313883
headline/actionable_sentiment_all,llm/vader,-0.00013216267259503548,0.0002414164054357921,0.004562654471271243,0.005794885441854081,0.38278596667601683,13.282194262092531,-12.282194262092531,13.282194262092577,True,0.0,-0.8683509192916414,False,-1.0163503609325344,0.20074739668561606,0.6613360463497473,25.564388524185063,2.5707417376629773,-25.0,1.0127198365439136,0.0,0.6613360463497473,-2.1117386251443926,0.5720143014280418
headline/sentiment_all,headline/sentiment_reuters,0.00040281869735377926,-8.744346488348531e-05,0.005019427419074665,0.0030884475733343295,0.49264563115513765,-5.8620490190640115,6.8620490190640115,-5.862049019064007,True,0.0,-4.227467271631983,False,-1.7761832967779385,0.7079633944150069,1.2739597659227422,12.724098038128023,4.401557886397464,25.0,1.7578914454002856,1.0,1.2739597659227422,-1.6914304443782822,0.5760561649093326
headline/sentiment_all,llm/finbert,0.00040281869735377926,0.00021709715836115066,0.005019427419074665,0.004878050611642556,0.6840963204192336,1.2734966811331645,-0.2734966811331645,1.273496681133164,True,0.0,14.645713187312676,True,1.2938926375453248,1.0835069267814215,1.2739597659227422,1.546993362266329,5.337406093104157,1.273500000000002,1.2938926375429565,1.0,1.2739597659227422,0.4127661158711895,0.5760561649093326
headline/sentiment_all,llm/gemma-4-31b,0.00040281869735377926,6.88717621405478e-05,0.005019427419074665,0.004256567645728868,0.664369509786017,2.7033308292837086,-1.7033308292837084,2.7033308292837086,True,0.0,9.169273503640197,True,1.4983753062290688,0.884282463116986,1.2739597659227422,4.406661658567417,5.163283730709783,2.703500000000002,1.4983753057422273,1.0,1.2739597659227422,1.44092975466147,0.5760561649093326
